Player,POS,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G
Jashaun Corbin (NYG),RB,1,1,1,1,0,0,3,3,12,4,0,0,2,2.8,1.4
Rashaad Penny (PHI),RB,5,17,3.4,6,0,0,1,1,5,5,0,0,2,2.7,1.4
Jake Funk (BAL),RB,2,10,5,7,0,0,1,1,12,12,0,0,1,2.7,2.7
Zonovan Knight (DET),RB,3,13,4.3,8,0,0,1,1,8,8,0,0,2,2.6,1.3
Derrick Gore (WAS),RB,2,23,11.5,23,1,0,0,0,0,0,0,0,4,2.3,0.6
Tyrion Davis-Price (SF),RB,6,21,3.5,15,0,0,0,0,0,0,0,0,1,2.1,2.1
Anthony McFarland Jr. (PIT),RB,0,0,0,0,0,0,2,2,11,5.5,0,0,3,2.1,0.7
Kenyan Drake (GB),RB,2,0,0,0,0,0,2,3,31,15.5,0,1,3,2.1,0.7
Leonard Fournette (BUF),RB,5,20,4,9,0,0,0,0,0,0,0,0,1,2,2
Devine Ozigbo (FA),RB,3,5,1.7,4,0,0,1,1,8,8,0,0,2,1.8,0.9
Jakob Johnson (LV),RB,0,0,0,0,0,0,1,2,12,12,0,0,11,1.7,0.2
Chris Evans (CIN),RB,2,12,6,7,0,0,1,1,-1,-1,0,0,7,1.6,0.2
Zach Evans (LAR),RB,8,16,2,5,0,0,0,0,0,0,0,0,3,1.6,0.5
Deon Jackson (NYG),RB,14,16,1.1,7,0,0,5,6,14,2.8,0,2,2,1.5,0.8
Alex Armah Jr. (WAS),RB,0,0,0,0,0,0,2,2,3,1.5,0,0,5,1.3,0.3
Kene Nwangwu (MIN),RB,5,13,2.6,8,0,0,0,0,0,0,0,0,6,1.3,0.2
Evan Hull (IND),RB,1,1,1,1,0,0,1,1,6,6,0,0,1,1.2,1.2
Reggie Gilliam (BUF),RB,0,0,0,0,0,0,1,1,3,3,0,0,14,0.8,0.1
James Robinson (NO),RB,1,2,2,2,0,0,1,1,-2,-2,0,0,1,0.5,0.5
La'Mical Perine (KC),RB,1,1,1,1,0,0,0,1,0,0,0,0,3,0.1,0
Austin Walter (LV),RB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eno Benjamin (NO),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Taylor (HOU),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qadree Ollison (FA),RB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jacques Patrick (NYJ),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Laird (TB),RB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Andrew Beck (HOU),RB,5,3,0.6,2,0,1,9,11,46,5.1,1,1,14,0,0
Mike Weber (NYG),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Homer (CHI),RB,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0
Jaret Patterson (WAS),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Ibrahim (DET),RB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Demetric Felton Jr. (CIN),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirk Merritt (FA),RB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JaMycal Hasty (NE),RB,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
Jermar Jefferson (DET),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Ward (TEN),RB,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Brittain Brown (LV),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julius Chestnut (TEN),RB,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Troy Hairston II (HOU),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Badie (DEN),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassan Haskins (TEN),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryant Koback (SEA),RB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Malik Davis (DAL),RB,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
DeWayne McBride (MIN),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellis Merriweather (GB),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owen Wright (BAL),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Mims (NO),RB,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Deneric Prince (KC),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zavier Scott (IND),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Burns (CHI),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xazavian Valladay (NYJ),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny McIntosh (SEA),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Saylors (ATL),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Pearson (GB),RB,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Carlos Washington Jr. (ATL),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Colletto (PIT),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SaRodorick Thompson Jr. (FA),RB,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Derek Parish (FA),RB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lew Nichols III (PHI),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javian Hawkins (TEN),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sincere McCormick (LV),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Brown (CAR),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Mason (BAL),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery Williams (ATL),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snoop Conner (JAC),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Bellore (SEA),RB,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Chad Spann (HOU),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Finley (CIN),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Mills (NE),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Bannon (KC),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Irons (CIN),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Alridge (WAS),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dantrell Savage (CAR),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad Simpson (WAS),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Omon (SF),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samkon Gado (TEN),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Hedgecock (NYG),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarik Cohen (CAR),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Clement (ARI),RB,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Jeremy McNichols (SF),RB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Marlon Mack (ARI),RB,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Taquan Mizzell (NYG),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Washington (DEN),RB,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
J.P. Holtz (FA),RB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jason Cabinda (DET),RB,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Godwin Igwebuike (PIT),RB,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Myles Gaskin (MIN),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Kelly Jr. (CLE),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyheim Hines (BUF),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brennan Clay (DEN),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willie Carter (CHI),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Flanders (NO),RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Williams (WAS),RB,1,-2,-2,0,0,0,0,1,0,0,0,0,1,-0.2,-0.2
Adam Prentice (NO),RB,1,5,5,5,0,0,1,2,5,5,0,1,11,-0.5,0
